symbol,date,RSI,EMA_10,EMA_20,SMA_50,returns,volume_change,volatility,momentum,future_return,label
INFY.NS,2024-09-12 00:00:00+05:30,66.6540876393108,1918.8495743265673,1898.001810185743,1821.5529956054688,0.02109778092962844,0.6102350748530101,0.01158928128014612,17.0999755859375,-0.027685919327258595,WATCH
INFY.NS,2024-09-13 00:00:00+05:30,63.19160129867053,1923.4405563737253,1902.3921116524282,1827.8869946289062,-0.0032556465148578795,-0.5507789980516866,0.011544789467796164,0.4000244140625,-0.023404146171179613,WATCH
INFY.NS,2024-09-16 00:00:00+05:30,60.45881102812427,1928.3150006694113,1906.9500057807684,1833.878994140625,0.0031634301174294777,-0.5914314046868605,0.011007876091007394,-14.25,-0.028175849850980643,WATCH
INFY.NS,2024-09-17 00:00:00+05:30,53.312007368098946,1932.7213730619046,1911.2928670233737,1839.98099609375,0.0011793610194206217,0.7788567050550224,0.01028737941525365,11.300048828125,-0.026785509984501688,WATCH
INFY.NS,2024-09-18 00:00:00+05:30,42.006224302252875,1925.3447642168423,1909.4697391558202,1844.59099609375,-0.030933918672309213,1.2861359329525652,0.014130847687865222,-30.2999267578125,0.007716077159610342,WATCH
INFY.NS,2024-09-19 00:00:00+05:30,40.07618866753529,1919.682070935939,1908.0154736335396,1849.3319946289062,0.001083384896209516,0.24917547155509978,0.013951878036850775,-38.9500732421875,-0.009819436208110105,WATCH
INFY.NS,2024-09-20 00:00:00+05:30,37.768069089264024,1917.1489671294046,1907.7997142398692,1854.4819946289062,0.006097586910494446,0.9109684989914211,0.013182264378830142,3.9000244140625,-0.0007346317271743408,WATCH
INFY.NS,2024-09-23 00:00:00+05:30,40.09725682017365,1913.385509682581,1906.7187844238697,1859.3569946289062,-0.004879994137806598,-0.7614197859289139,0.013224272573467788,1.7999267578125,-0.0016082295005612228,WATCH
INFY.NS,2024-09-24 00:00:00+05:30,44.30924453946238,1910.6972307559183,1905.9455645345429,1863.093994140625,0.0011337100737796035,1.0011747003854072,0.012843474482218004,-13.7000732421875,0.01029708684268341,WATCH
INFY.NS,2024-09-25 00:00:00+05:30,40.63814716430366,1907.8977431326832,1904.9317058958363,1866.858994140625,-0.0017380842727515722,-0.41349735957489375,0.01284749153454861,-14.8499755859375,0.020577216796946702,WATCH
INFY.NS,2024-09-26 00:00:00+05:30,49.54494418301389,1906.5072443812862,1904.4858291438518,1870.3429931640626,0.0026116979076402647,1.0974901021263297,0.010472075119159078,-50.199951171875,0.025417733891922114,WATCH
INFY.NS,2024-09-27 00:00:00+05:30,53.45516198544498,1906.551381766507,1904.7014644634849,1873.3169921875,0.003420602552295815,0.6652808064692142,0.010633926388967384,-37.3499755859375,0.024124819719417857,WATCH
